CASENUM,CLMSEX,CLMINSUR,SEATBELT,CLMAGE,LOSS,ATTORNEY
5,0,1,0,50,34.94,0
3,1,0,0,18,0.891,1
66,0,1,0,5,0.33,1
70,0,1,1,31,0.037,0
96,0,1,0,30,0.038,1
97,1,1,0,35,0.309,0
10,0,1,0,9,3.538,0
36,1,1,0,34,4.881,0
51,1,1,0,60,0.874,1
55,0,1,0,,0.35,1
61,1,1,0,37,6.19,0
148,0,1,0,41,19.61,0
150,0,1,0,7,1.678,1
150,1,1,0,40,0.673,0
169,1,1,0,37,0.143,1
171,1,0,0,9,0.053,1
334,1,1,0,58,0.05,1
360,0,1,0,58,0.758,0
376,0,1,0,3,0,1
401,1,1,0,38,4.754,0
479,0,,0,37,3.1,0
480,1,1,0,39,0.13,1
550,0,0,0,38,16.161,0
569,0,,0,30,0.609,0
580,0,1,0,54,10.04,1
608,1,1,0,3,0.787,1
603,0,1,0,61,0.15,1
606,0,1,0,0,0.405,0
607,0,1,0,40,0.405,1
630,0,1,0,,0.595,0
640,1,1,0,16,3.994,1
640,0,1,0,,0.337,1
685,0,1,0,9,0.603,1
700,1,1,0,35,1.673,0
710,1,1,0,35,4.751,0
766,1,1,0,17,3.538,0
775,1,0,0,41,3.185,0
805,1,1,0,50,3.7,0
819,0,1,0,33,0.386,1
838,0,1,0,9,1.97,0
851,0,1,0,34,0.904,1
871,1,0,0,33,8.09,0
905,1,1,0,46,8.09,0
941,1,1,0,55,13.1,1
971,0,1,0,5,0.46,1
61,1,1,0,,3.981,1
63,0,0,0,16,1.74,0
78,0,1,0,1,0,1
91,0,1,0,,1.003,0
0,0,1,0,40,3.1,0
4,1,1,0,19,3.777,0
54,0,1,0,54,0.975,1
70,1,1,0,,0.497,1
86,1,1,0,,0.335,1
178,1,1,0,60,1.669,0
195,0,1,0,30,33.633,0
301,1,1,0,,0.305,1
304,1,0,0,10,6.694,0
335,1,1,0,44,0.139,1
339,0,1,0,10,0.987,1
354,1,1,0,,0,1
359,0,1,0,,0.53,1
366,0,,,35,5.563,0
387,0,1,0,54,0.17,1
405,1,1,0,38,1.513,0
445,1,1,0,60,0.73,1
470,0,1,0,,3.638,1
505,0,1,0,30,0.08,1
530,1,0,0,17,0.31,1
590,0,1,0,4,0.3,0
607,0,1,0,56,44.06,0
608,0,1,0,63,1.6,0
614,0,1,0,55,0.895,0
664,0,1,0,47,0.441,0
670,0,1,0,0,0.445,1
740,0,1,0,5,3.5,0
743,0,1,0,38,0.909,1
780,1,1,0,,0,1
784,0,1,0,40,1.875,0
790,0,1,0,57,3.889,1
840,1,1,0,17,1.765,0
908,1,1,0,1,0.517,1
970,1,,0,,9.73,0
996,1,0,0,11,1.71,0
1001,0,1,0,40,0.834,0
1009,1,1,0,10,1.031,1
1003,0,1,0,18,3.37,0
1010,1,1,0,35,0.15,1
1013,1,1,0,11,4.117,0
1017,1,1,0,16,4.44,0
1018,1,1,0,,0.8,1
1054,1,1,0,0,4.506,0
1063,1,1,0,8,0.86,1
1091,0,1,0,31,3.018,0
1010,0,1,0,50,1.467,0
1011,1,1,0,71,0.098,1
1013,1,1,0,,3.681,1
1054,0,1,0,1,34.571,0
1057,0,1,0,16,8.698,0
1059,0,1,0,9,0.46,1
1078,0,1,0,6,0.71,1
1156,1,1,0,43,0.535,1
1164,1,1,0,35,1.435,0
1189,1,1,0,,1.433,0
1309,0,1,0,7,0.589,1
1304,0,1,0,43,4.485,0
1315,0,1,0,19,40.364,0
1349,1,0,0,10,3.975,0
1388,1,1,0,31,0.595,1
1404,0,1,0,,0.755,0
1470,0,1,0,69,1.05,0
1473,1,1,0,33,0.41,1
1491,1,0,0,40,5.444,0
1496,1,1,0,,0.365,1
1568,1,1,0,8,0.38,1
1589,0,1,0,,3.06,0
1599,1,1,0,,0.765,1
1606,1,1,0,41,3.595,0
1655,1,1,0,43,3.031,0
1661,1,1,0,,6.35,1
1690,1,1,0,10,0.305,0
1740,1,1,0,9,5.813,0
1755,1,1,0,46,0.05,0
1758,1,1,0,7,1.99,0
1838,1,1,0,30,4.414,0
1846,1,1,0,43,3.863,1
1879,0,1,0,,0.15,1
1896,0,1,0,33,7.761,0
1939,0,1,0,54,0.747,1
1958,0,1,,40,1.577,1
1990,1,1,0,48,0.345,1
3067,1,1,0,50,0.056,1
3087,,,,,3.04,0
3093,1,1,0,,9.796,0
3047,1,1,0,31,4.46,0
3151,0,1,0,1,0.08,1
3157,0,1,0,,0.085,1
3190,0,1,1,0,1.005,0
3198,1,1,0,61,0.535,1
3305,0,1,0,8,0.973,0
3314,1,1,0,7,0.655,0
3337,1,1,0,37,3.667,1
3384,0,1,0,,0.615,0
3443,0,1,0,4,8.616,0
3446,0,1,0,75,3,0
3465,1,1,0,80,0.091,1
3500,0,1,0,33,1.38,1
3531,0,1,0,6,49.56,0
3546,1,1,0,40,59.497,0
3561,1,1,0,10,0.443,1
3571,1,1,0,40,8.74,0
3580,1,1,0,,1.79,0
3605,1,1,0,6,0.075,1
3667,0,1,0,66,0.507,0
3668,1,1,0,41,1.579,0
3677,1,1,0,56,6.44,0
3699,0,1,0,17,33.451,0
3707,1,1,0,13,40.46,0
3763,0,,,0,9.031,0
3791,0,0,0,51,0.05,1
3800,0,0,0,33,1.509,1
3848,0,1,0,10,0.375,1
3874,1,1,0,,0.8,1
3901,1,1,0,18,4.089,0
3906,0,0,,39,0.148,1
3900,0,1,0,0,0.01,1
3905,0,1,0,46,0.678,1
3910,1,0,0,39,0.14,1
3939,0,1,0,10,4.139,0
3974,1,1,0,34,0.1,0
3995,0,1,0,8,0.47,0
4066,1,1,0,41,4.84,0
4083,1,1,0,7,4.503,0
4000,1,1,0,18,1.638,0
4006,1,1,0,41,3.489,0
4084,0,1,0,10,4.375,1
4088,1,1,0,1,0.48,1
4096,1,1,0,6,0.604,1
4101,1,1,0,4,4.117,1
4130,0,1,0,15,9.898,0
4137,0,0,0,8,1.667,1
4148,0,1,0,5,0,1
4196,0,1,0,0,0.44,1
4409,1,1,0,,1.009,0
4465,0,1,0,,7.064,1
4490,1,1,0,40,1.53,0
4507,1,1,0,,0.377,0
4561,0,1,0,61,0.307,0
4593,0,,0,43,0.013,0
4681,1,0,0,65,0.373,1
4684,1,1,0,14,1.595,1
4695,0,1,0,10,5.345,0
4707,1,1,0,6,0,1
4708,1,1,0,49,3.968,1
4780,1,1,0,33,0.617,0
4789,1,1,0,8,1.478,1
4799,0,1,0,30,3.677,0
4835,1,1,0,50,0.145,1
4844,0,1,0,49,0.39,0
4915,1,,0,9,3.6,1
4919,1,1,0,17,0.054,1
4935,1,1,0,55,0.5,1
4970,1,1,0,18,3.086,0
5000,1,0,0,10,1.847,0
5010,1,0,0,38,0.714,0
5051,1,1,0,11,1.1,0
5076,1,1,0,,0.108,1
5108,0,1,0,41,0.795,1
5100,1,1,0,37,15.816,0
5151,0,0,0,13,4.508,1
5184,1,1,0,49,0.608,1
5187,1,1,0,10,0.886,1
5304,1,1,0,4,0,1
5340,1,1,0,40,3.75,1
5359,1,1,0,60,0.466,0
5376,1,1,0,77,0.944,1
5380,1,1,0,10,3.435,1
5381,1,1,0,8,5.409,0
5400,1,1,0,0,0.04,1
5491,1,1,0,14,0.808,1
5504,1,1,1,7,0.983,1
5547,0,1,0,44,0.035,1
5560,0,1,0,,3.013,1
5639,0,1,0,9,1.38,1
5641,0,1,0,6,0.64,1
5666,0,1,0,19,1.644,0
5685,1,1,0,6,1.461,1
5708,0,1,0,7,0.64,0
5730,1,1,0,35,4.604,0
5745,1,1,0,31,3.95,1
5748,0,1,0,49,0.15,1
5758,0,1,0,39,1.04,1
5800,1,1,0,34,4.09,1
5819,0,0,0,37,1.57,0
5881,1,,0,40,3.068,0
5900,1,1,0,17,1.619,0
5918,1,1,0,5,0.901,0
5949,1,0,0,19,0.885,0
5954,1,1,0,16,0.968,1
5956,1,1,0,6,0.011,1
5991,0,1,0,34,0.66,1
6014,1,1,0,38,6.509,1
6080,0,1,0,41,40,0
6000,0,1,0,35,3.033,0
6005,1,1,0,5,0.094,1
6008,1,1,0,40,3.7,1
6134,1,1,0,13,0.958,1
6195,1,1,0,7,0.5,1
6313,0,1,0,,1.835,0
6330,1,1,0,8,0.134,1
6330,1,1,0,49,0.51,1
6368,1,1,0,50,6.608,0
6409,0,1,0,50,0.35,1
6434,0,1,0,10,5.307,0
6491,1,1,0,,3.974,0
6543,0,1,0,30,4,0
6570,1,1,,17,3.63,0
6579,0,1,0,15,3.07,0
6593,0,1,0,0,0.709,0
6641,0,1,1,66,4.53,0
6680,1,1,0,30,0.877,1
6690,0,1,0,30,0.118,1
6697,0,0,0,6,0.598,1
6790,1,1,0,30,0.76,1
6869,0,1,0,50,0.675,0
6881,1,1,0,19,1.74,0
6936,1,1,0,49,4.164,1
6976,0,1,,40,0.386,1
7005,1,1,0,54,0.084,1
7035,0,0,0,3,0.851,0
7007,1,1,0,5,0.057,0
7009,1,1,0,6,4.3,0
7013,0,1,0,39,1.088,0
7035,1,1,0,9,3,1
7038,1,1,0,,0.909,0
7041,1,1,0,5,0.78,0
7057,1,1,0,37,4.018,0
7060,0,1,0,,81,1
7097,1,1,0,5,0.518,1
7107,0,1,0,47,0.15,0
7108,1,1,0,69,1.076,0
7140,0,1,0,38,1.031,1
7163,0,1,0,,0.011,1
7309,1,1,1,19,3.714,0
7350,1,1,0,,0.03,1
7381,1,1,0,7,7.45,1
7386,0,1,0,10,1.617,0
7406,1,1,0,19,68.56,0
7477,0,1,0,6,0.708,1
7484,1,1,0,5,6.08,0
7498,1,1,0,31,0.01,1
7586,1,1,0,17,3.34,0
7605,0,1,0,6,1.47,0
7647,1,1,0,10,3.33,0
7667,1,1,0,,3.099,1
7670,1,0,0,6,1.617,0
7694,0,1,0,0,0.5,1
7704,1,1,0,39,0.434,1
7707,0,1,0,,0.04,1
7713,1,1,0,46,1.47,1
7748,0,1,0,7,0.4,0
7769,1,0,0,,0.008,1
7776,0,1,0,41,3.31,1
7779,1,1,0,8,0.1,0
7791,1,1,0,8,0.7,1
7855,0,1,0,33,0.886,1
7883,1,1,0,5,4.058,1
7904,0,1,0,57,0.5,1
7909,1,1,0,36,0.15,1
7930,0,1,0,35,9.061,1
7971,0,1,0,41,0.746,1
7980,1,1,0,15,1.377,0
7996,1,0,0,13,1.056,0
7999,0,0,0,49,0.998,0
8005,1,1,0,0,1.38,1
8033,1,1,0,13,0.1,1
8036,0,1,0,0,0.005,1
8051,1,1,0,6,0.04,1
8174,1,1,0,,0.05,1
8300,0,1,0,36,1.104,0
8336,1,1,0,48,0.47,1
8338,0,1,0,10,0.505,1
8354,1,1,0,39,1.113,1
8380,0,1,0,6,4.478,1
8397,0,,0,,18.06,0
8400,1,1,0,46,0.005,1
8406,1,1,0,0,0.057,0
8410,1,1,0,9,3.309,0
8414,0,1,0,38,1.408,1
8418,1,1,0,6,5.049,1
8434,0,0,0,5,0.368,0
8471,0,1,0,54,1.405,1
8509,1,1,0,,1,1
8519,0,0,0,31,41.115,0
8570,0,1,0,8,5.83,0
8581,0,1,0,,0.9,1
8647,0,1,0,46,4.159,0
8673,1,1,0,33,0.78,1
8686,0,1,0,7,0.701,1
8699,1,1,0,11,4.19,1
8706,1,1,0,6,0.14,0
8713,1,1,0,41,4.691,1
8748,0,1,0,39,1.043,0
8770,1,1,0,16,0.861,1
8811,0,1,0,36,0.73,0
8816,0,0,0,19,1.43,0
8830,1,0,0,61,0.83,1
8846,1,1,0,56,3.009,1
8886,1,1,0,14,1.83,0
8938,1,1,0,34,4.349,1
8939,0,1,0,45,5.735,0
8940,1,1,0,53,7.549,0
8999,0,1,0,38,0.199,1
9047,1,,,10,0.163,1
9081,1,0,0,13,3.091,0
9030,1,0,0,36,4.405,0
9034,0,1,0,16,1.85,1
9071,1,1,0,31,9.017,0
9086,1,1,0,41,0.671,1
9097,1,1,0,60,3.997,0
9103,0,1,0,10,0.09,1
9113,1,1,0,44,3.199,0
9114,0,,0,9,1.77,1
9146,1,1,0,46,173.604,0
9151,1,1,0,8,0.405,1
9173,1,1,0,38,3.055,1
9304,0,1,0,,4.04,0
9330,0,1,0,34,0.567,0
9378,0,1,0,16,1.07,1
9407,0,1,0,0,0.035,1
9400,0,1,0,59,0,1
9437,1,1,0,30,3.634,0
9443,1,1,0,9,0.47,1
9510,1,1,0,,3.335,0
9514,1,1,0,46,8.801,0
9544,1,1,0,40,5.44,1
9546,1,1,0,54,1.149,0
9553,1,1,0,37,4.86,0
9555,1,1,0,67,1.035,0
9581,0,1,0,34,3.85,0
9600,1,1,0,8,0.989,0
9603,1,1,0,59,3.595,1
9604,1,1,0,35,8.508,0
9608,1,1,0,41,1.306,0
9605,0,1,0,6,0.905,0
9647,0,0,0,,0.371,1
9653,1,1,0,35,0.86,0
9660,1,1,0,55,0.604,1
9704,0,1,0,,3.595,0
9704,1,1,0,16,4.665,0
9758,1,1,0,36,1.351,1
9791,0,1,0,8,0.083,1
9793,1,1,0,6,0.495,1
9806,1,1,0,3,0.035,0
9800,1,,,5,5.163,0
9817,1,1,0,,0.756,1
9879,1,1,0,54,1.677,1
9910,0,,0,40,1.408,1
38,1,1,0,,0.056,1
6,0,1,0,,0.04,0
5,1,1,0,43,6.109,0
7,1,,,13,0.647,1
19,0,1,0,83,18.109,0
106,0,1,0,10,50,0
116,0,0,0,,0.684,1
156,0,1,0,13,4.776,0
188,1,1,0,35,5.405,0
198,1,1,,0,0.584,1
308,1,1,0,15,1.998,0
319,1,1,0,,1.995,0
479,1,1,0,45,49.015,0
545,1,1,0,40,0.834,1
564,0,0,0,5,1.6,0
565,0,1,0,49,1.68,1
575,0,1,0,14,4.916,0
590,0,1,0,48,68.548,0
593,0,1,0,43,0.745,1
606,0,1,0,60,5.087,0
758,1,1,0,9,0.185,1
861,0,0,0,50,3.719,0
870,1,1,0,10,1.97,1
876,0,1,0,40,0.505,1
884,0,1,0,6,0.396,0
895,1,1,0,11,0.487,1
945,0,0,0,15,0.54,1
960,1,1,0,11,1.13,0
993,1,1,0,10,0.385,1
997,1,,,,1.7,0
6,1,1,,4,0.057,0
30,1,1,0,16,0.089,0
64,0,0,0,15,0.984,0
94,1,1,0,,0.406,0
7,1,1,0,11,6.084,0
34,1,1,0,59,54.711,0
95,1,1,0,,3.584,1
99,0,1,0,36,4.045,0
158,1,1,0,6,3.47,0
169,1,1,0,40,4,1
171,1,1,0,6,3.883,0
189,0,1,0,57,3.889,1
196,0,1,0,,0.1,1
300,0,1,0,,1.63,0
308,1,1,0,40,0.857,0
330,1,1,0,7,0.557,1
331,1,1,0,10,3.064,0
363,1,1,0,,3.5,0
364,1,1,1,5,0.555,1
450,1,1,0,33,3.089,1
453,0,1,0,64,3.457,0
456,1,1,0,19,3.95,0
460,1,0,0,37,1.868,1
579,1,0,0,7,0.6,1
590,1,1,,5,0.488,0
617,1,1,0,5,0.995,0
656,1,,,0,0.109,0
696,0,,0,35,0.5,1
700,1,0,0,43,7.068,0
703,1,1,0,48,0.116,1
733,1,1,0,,93,0
763,1,,,66,0.985,1
768,1,1,0,10,1.069,1
873,1,1,0,0,0.08,1
883,0,1,0,34,1.36,1
890,0,1,0,14,1.086,1
907,0,1,0,30,0.5,1
901,,,,,1.069,0
904,1,1,0,50,0.045,1
905,0,1,,38,0.405,1
907,1,1,0,1,3.407,0
933,0,1,0,6,0.548,1
936,0,0,0,5,1.83,0
1003,0,1,0,,0.47,1
1090,1,1,0,50,4.005,0
1010,0,1,0,6,5.505,0
1030,0,0,0,30,8.07,0
1031,1,1,0,14,0.08,0
1058,0,1,1,39,61.047,0
1085,1,1,0,48,1.05,0
1110,0,1,1,10,1.318,0
1139,1,1,0,13,0.16,0
1150,0,1,0,47,0.09,1
1186,1,1,0,70,0.566,0
1308,1,1,0,35,0.975,1
1404,0,,,,0.37,1
1454,1,1,0,,0.783,1
1474,1,1,0,70,1.698,0
1478,1,1,0,39,0.84,1
1495,0,1,0,43,3.049,1
1500,0,0,0,,0.081,0
1544,1,1,0,35,3.603,0
1545,0,1,0,,0.4,1
1580,,1,0,14,5.5,0
1598,1,1,0,47,0.609,1
1670,1,1,0,15,3.085,0
1700,0,0,0,8,0.066,1
1767,1,1,0,,0.085,1
1785,1,1,0,9,1.645,0
1810,1,1,0,7,0.405,1
1843,1,1,0,3,0.1,1
1847,1,1,0,35,6.416,0
1901,0,1,0,55,6.85,0
1910,0,1,0,45,3.955,1
1935,0,1,0,40,7.7,0
1944,0,1,0,1,0.3,1
1980,0,1,1,49,1.633,1
1985,0,1,0,,3.854,1
1993,0,1,0,50,3.054,0
3003,0,1,0,47,0.15,1
3034,0,1,0,8,1.908,0
3070,1,1,1,,1.619,0
3090,0,1,0,19,0.957,1
3043,1,1,0,8,3.086,0
3060,0,1,0,5,0.453,0
3096,1,1,0,64,0.061,1
3133,0,1,0,19,0.605,1
3136,0,0,0,6,0.095,0
3149,1,1,0,64,0.131,1
3304,0,1,0,37,3.709,1
3309,1,0,0,5,3.06,0
3334,1,1,0,0,0.151,1
3401,1,1,0,63,0.34,0
3490,1,1,0,3,0.716,1
3570,,1,0,,7.857,0
3608,1,,,7,7.707,0
3700,0,1,0,5,0.065,0
3708,0,1,0,13,0.085,1
3734,0,1,0,57,6.063,0
3748,0,,0,,0.005,0
3753,1,1,0,51,4.366,0
3808,0,1,0,30,1.548,0
3840,0,1,0,,0.431,1
3906,1,1,0,50,0.435,1
3930,0,1,0,1,0.095,0
3957,1,1,1,30,1.069,1
3978,1,1,0,47,0.077,1
3990,1,1,0,3,0.843,0
4050,1,1,0,11,5.515,1
4084,0,1,0,7,1.305,0
4000,1,1,0,,3.51,1
4005,0,1,0,9,8.08,1
4030,0,1,0,31,3.035,0
4040,0,0,0,5,0.656,0
4044,0,1,0,56,3.01,0
4047,0,1,0,44,3.666,0
4067,0,1,0,34,3.394,1
4074,1,1,0,49,3.76,0
4086,1,1,0,,3.09,1
4100,1,,,0,0.91,0
4161,0,0,0,43,5.083,0
4163,1,1,0,64,0.948,1
4171,0,1,0,,7.438,0
4179,0,0,0,16,0.83,0
4305,0,1,0,19,4.781,0
4319,1,0,0,3,0.579,0
4350,1,,,,0.5,1
4357,1,1,0,34,8.4,1
4366,0,1,0,58,0.895,1
4375,0,1,0,30,0.565,1
4404,0,1,0,57,4.996,0
4458,1,1,0,,0.105,1
4489,1,0,0,14,3.804,0
4507,1,1,0,11,3.754,0
4565,1,1,0,,0.06,1
4600,1,1,0,4,1.883,1
4604,1,1,0,37,0.5,1
4633,0,0,0,19,3.04,0
4679,1,1,0,39,0,1
4697,1,0,0,40,8.406,1
4740,0,1,0,54,1.077,0
4767,0,1,0,5,1.737,0
4799,0,1,0,16,0.091,0
4806,1,1,0,44,3.313,1
4830,0,1,0,3,0.6,0
4845,0,1,0,9,1.691,1
4859,1,1,0,49,6.371,0
4863,0,1,0,70,3.706,0
4893,0,1,0,10,0.305,1
4908,1,1,0,15,4.554,0
4967,0,1,0,7,0.778,1
4975,0,1,0,,66.689,0
4991,1,1,0,8,6.047,0
4995,0,1,0,30,0.384,1
4998,1,1,0,10,0.107,1
5011,1,0,0,,3.361,1
5071,1,1,0,63,0.184,1
5043,0,0,0,36,3.175,0
5060,1,1,0,17,41.434,0
5081,1,1,0,70,3.78,0
5095,1,1,0,,0.536,0
5108,1,1,0,30,0.83,1
5369,1,1,0,6,0.1,1
5404,1,1,0,11,0.546,1
5415,1,1,0,38,4.977,0
5419,0,1,0,8,1.99,1
5431,1,1,0,43,0.007,1
5436,0,1,0,31,5.55,0
5457,1,1,0,70,0.108,1
5500,0,1,0,60,0.073,1
5518,1,1,0,9,0.55,1
5519,1,1,0,37,63.361,0
5548,0,1,0,50,0.935,0
5550,1,1,,19,0.015,1
5557,1,1,0,13,0.15,1
5589,1,1,0,8,3.005,0
5599,1,1,0,11,3.6,0
5670,1,1,0,,0.114,1
5680,0,1,,50,3.041,0
5704,1,1,0,4,0.655,0
5790,0,1,0,0,0.15,1
5848,1,1,0,9,5.5,0
5930,0,1,0,33,0.596,1
5931,0,1,0,,0.199,0
5954,0,1,0,30,0.03,1
5990,0,1,0,16,4.94,0
6016,1,1,0,,1.64,1
6000,1,1,0,0,0.407,1
6016,1,1,0,39,3.47,0
6037,1,1,0,36,15.766,0
6110,0,1,0,83,0.38,1
6175,0,0,0,7,1.815,0
6195,1,1,0,41,3.043,1
6317,0,1,0,38,3.787,1
6330,0,1,0,1,0.89,0
6353,1,1,0,67,4.109,0
6379,0,,0,10,0.558,1
6408,1,1,0,71,8.708,0
6409,0,1,0,73,8.108,0
6445,1,1,0,40,6.337,0
6453,1,1,0,48,0.058,1
6461,0,1,0,7,0.33,0
6495,1,0,0,,3.635,0
6531,0,0,0,50,0.01,0
6543,1,1,0,1,3.404,0
6556,1,1,0,37,1.851,0
6568,1,1,1,10,8.053,0
6585,0,1,0,95,0.08,0
6605,1,1,0,0,0.175,1
6665,0,1,0,44,3.9,0
6697,0,1,0,31,0.155,0
6703,0,1,0,10,0.135,0
6709,0,1,0,44,1.645,0
6710,0,1,0,45,3.9,0
6717,0,1,0,30,6.808,0
6755,1,1,0,10,0.041,1
6794,0,1,0,,1.905,0
6795,0,1,0,17,5.118,0
6841,1,0,0,10,1.64,1
6843,1,1,0,70,0.06,1
6907,0,1,0,7,3.436,0
6914,1,1,1,10,0.936,0
6958,0,1,0,1,0.035,0
7010,0,1,0,33,0.393,1
7011,1,1,0,0,0.116,0
7098,0,1,0,34,6.57,0
7033,0,1,0,43,0.405,0
7044,1,1,0,,0.935,0
7057,0,1,0,35,3.36,0
7059,1,1,0,43,3.498,1
7063,0,1,0,14,4.479,0
7085,1,1,0,10,1.406,0
7087,1,,,,0.3,0
7111,1,1,0,41,9.16,1
7175,1,1,0,0,0.005,1
7186,1,1,0,47,0.5,1
7363,0,0,0,31,0.738,0
7373,0,1,0,39,4.308,0
7397,0,1,0,,0.075,1
7403,0,1,0,,0.133,1
7406,1,1,0,39,3.086,0
7407,1,1,0,60,0.064,1
7488,0,,0,49,0.7,0
7539,1,1,0,55,0.03,1
7550,1,0,0,33,0,1
7635,1,1,0,41,7.013,0
7707,1,1,0,33,5.467,0
7709,1,1,0,39,0.831,1
7716,0,1,0,,3.906,0
7719,0,1,0,43,4.41,0
7731,0,0,0,48,0.855,1
7737,1,1,0,48,5.449,0
7790,1,1,0,19,0.553,1
7831,1,1,0,9,1.803,0
7840,1,,,34,0.945,0
7840,0,1,0,16,0.175,1
7885,1,0,0,19,5.4,1
